Decriminalized,Legal Status,Medicinal,State,code
No,Mixed,Yes,Hawaii,HI
Yes,Fully Legal,Yes,Alaska,AK
No,Mixed,Yes,Florida,FL
No,Fully Illegal,No,South Carolina,SC
No,Fully Illegal,No,Georgia,GA
No,Fully Illegal,No,Alabama,AL
Reduced,Fully Illegal,No,North Carolina,NC
No,Fully Illegal,No,Tennessee,TN
Reduced,Mixed,Yes,Rhode Island,RI
Reduced,Mixed,Yes,Connecticut,CT
Yes,Fully Legal,Yes,Massachusetts,MA
Yes,Fully Legal,Yes,Maine,ME
Reduced,Mixed,Yes,New Hampshire,NH
Yes,Fully Legal,Yes,Vermont,VT
Reduced,Mixed,Yes,New York,NY
No,Mixed,Yes,New Jersey,NJ
No,Mixed,Yes,Pennsylvania,PA
Reduced,Mixed,Yes,Delaware,DE
Reduced,Mixed,Yes,Maryland,MD
No,Mixed,Yes,West Virginia,WV
No,Fully Illegal,No,Kentucky,KY
Reduced,Mixed,Yes,Ohio,OH
No,Mixed,Yes,Michigan,MI
No,Fully Illegal,No,Wyoming,WY
No,Mixed,Yes,Montana,MT
No,Fully Illegal,No,Idaho,ID
Yes,Fully Legal,Yes,Washington,WA
No,Fully Illegal,No,Texas,TX
Yes,Fully Legal,Yes,California,CA
No,Mixed,Yes,Arizona,AZ
Yes,Fully Legal,Yes,Nevada,NV
No,Fully Illegal,No,Utah,UT
Yes,Fully Legal,Yes,Colorado,CO
No,Mixed,Yes,New Mexico,NM
Yes,Fully Legal,Yes,Oregon,OR
No,Mixed,Yes,North Dakota,ND
No,Fully Illegal,No,South Dakota,SD
Reduced,Fully Illegal,No,Nebraska,NE
No,Fully Illegal,No,Iowa,IA
Reduced,Fully Illegal,No,Mississippi,MS
No,Fully Illegal,No,Indiana,IN
Reduced,Mixed,Yes,Illinois,IL
Reduced,Mixed,Yes,Minnesota,MN
No,Fully Illegal,No,Wisconsin,WI
Reduced,Fully Illegal,No,Missouri,MO
No,Mixed,Yes,Arkansas,AR
No,Mixed,Yes,Oklahoma,OK
No,Fully Illegal,No,Kansas,KS
No,Fully Illegal,No,Louisiana,LA
No,Fully Illegal,No,Virginia,VA
